Chủ đề,Tag,Ques,Ans,Require
,travel vietnam,"Những địa điểm du lịch nổi tiếng tại Việt Nam là gì?
Các địa điểm du lịch nổi tiếng nhất Việt Nam ở đâu?
Tôi nên ghé qua những địa điểm du lịch nào ở Việt Nam?
Bạn có biết Việt Nam có những địa điểm du lịch gì?
Tôi nên ghé qua những địa điểm du lịch nào ở Việt Nam?","Chà, Việt Nam có rất nhiều địa điểm du lịch như Phú Quốc, Bà Nà Hill, Động Phong Nha, Vịnh Hạ Long. Bạn hãy ghé thăm nhé.",
,travel time,"Khi nào tôi nên đi du lịch Châu Âu?
Lúc nào thì thời tiết thích hợp để đi du lịch Châu Âu?
Tôi nên đi du lịch Châu Âu khi nào?
Nên đi du lịch Châu Âu khi nào?
Khi nào là thời điểm thích hợp để đi du lịch Châu Âu?","Tháng 5 đến tháng 7, mùa đẹp nhất để đi du lịch châu Âu là vào đầu hè.",
,travel alone,"Nên chuẩn bị những gì khi đi du lịch một mình?
Cách gì để đi du lịch một mình hiệu quả?
Tôi cần chuẩn bị những gì khi đi du lịch một mình?
Những gì cần lưu ý khi đi du lịch một mình?
Đi du lịch một mình cần quan tâm điều gì?","Hãy kết thân và hỏi thăm người địa phương, nhưng đừng quá cả tin, vì an toàn là trên hết nhé.",
Học tập,app,"Ứng dụng nhắc nhở học tập là gì?
Ựng dụng lên lịch học là gì?
Ứng lập kế hoạch học tập là gì?",TickTick: Things & Tasks To Do,
,manage time,"Cách quản lý thời gian học tập là gì?
Làm sao để quản lý thời gian học tập thật hiệu quả?
Cách sắp xếp thời gian học hợp lý là gì?","Bạn cần liệt kê những việc quan trọng cần hoàn thành trong ngày, các khung giờ để học tập làm việc, vui chơi ăn uống, ngủ nghỉ, vào cuối ngày bạn thống kê mọi thứ trên 1 trang giấy hoặc ghi chú trên điện thoại là bạn đã làm được những gì, cuối cùng bạn note những việc làm rất tốt và những việc chưa tốt để cải thiện nhé.",
,method,"Phương pháp rèn luyện thói quen học tập là gì?
Cách rèn kỷ luật học tập hàng ngày là gì?
Làm sao để có thói quen ngồi vào bàn học mỗi ngày?
Phương pháp rèn luyện tính kỷ luật học tập là gì?
Cách để chăm học hơn là gì?","Bật mí cho bạn rằng tính kỷ luật hoặc một thói quen có thể dễ dàng hình thành sau 21 ngày, vì vậy bạn hãy thực hiện nó một cách liên lục và điều đặn.",
,notebook,"Sách tổng hợp lý thuyết, công thức môn học cấp ba là gì?
Sách tóm tắt lý thuyết và công thức của các môn học cấp ba là gì?
Sách lý thuyết các môn học cấp ba ngắn gọn, dễ hiểu là gì?",Đó là sách Sổ tay tra cứu nhé.,
,listening,"Luyện nghe tiếng anh bằng cách nào cho hiệu quả?
Phương pháp luyện nghe tiếng anh là gì?
Luyện nghe tiếng anh chữa điếc gồm những bước nào?
Phương pháp đúng để luyện nghe tiếng anh là gì?
Cách luyện nghe tiếng anh đơn giản là gì?","Hãy nghe những gì bạn thích - loại bỏ áp lực nghe từng từ, viết từ vựng ra giấy, học đi lại nhiều lần để tăng vốn từ. Cố gắng nghe tiếng anh mỗi ngày để tạo môi trường học tiếng anh liên tục.",
,high school,"Những điều cần lưu ý khi đi thi đại học là gì?
Học sinh cần chuẩn bị những gì khi đi thi đại học?
Các điều cần ghi nhớ khi đi thi đại học là gì?
Học sinh cần làm gì trước khi đi thi đại học?
Những lưu ý quan trọng cần chuẩn bị khi đi thi đại học là gì?","Hãy chuẩn bị giấy tờ cần thiết như giấy báo dự thi, chứng minh nhân dân và những vật dụng cần thiết như bút bi xanh, bút chì, máy tính, tẩy, thước kẻ, thước đo độ.
",
,ielts,"Cần chuẩn bị những gì cho kỳ thi IELTS?
Khi đi thi Ielts cần chuẩn bị những gì?
Những thứ quan trọng cần lưu ý và chuẩn bị khi đi thi Ielts là gì?
Mang gì khi đi thi Ielts?
Bạn cần mang theo những gì khi thi IELTS?","Nắm vững thông tin về bài thi IELTS, thường xuyên luyện tập. giữ vững tinh thần trước ngày thi, mang đủ giấy tờ cần thiết. Đến dự thi IELTS sớm, hãy bình tĩnh, tự tin để vượt qua nó nhé..",
Trò Chơi,game,"Game gì được nhiều người biết đến?
Game nào hiện nay nhiều người chơi?
Game chiến thuật nhiều người chơi hiện nay?
Game được chơi nhiều hiện nay?
Game phố biến nhất hiện nay là game gì?",Theo candy là game PUBG.,
,relax game,"Những thể loại game giúp giảm căng thẳng?
Game giải trí nhẹ nhàng là gì?
Các thể loại game giải trí khi mệt mỏi là gì?
Nên chơi những thể loại game gì khi mệt mỏi?
Có các thể loại game gì giúp giải trí?","Hãy thử chơi game A Short Hike nhé.
Hãy thử chơi game Euro Truck Simulator 2 nhé.
Hãy thử chơi game The Hunter: Call of the Wild nhé.",
,game effect,"Ảnh hưởng tiêu cực từ việc chơi game quá lâu là gì?
Chơi game quá lâu sẽ gây hại gì cho cơ thể?
Lạm dụng game quá mức gây ảnh hưởng thế nào đến sức khỏe và tâm trí?
Những tác hại khôn lường từ việc chơi game quá lâu là gì?
Vì sao chơi game quá lâu lại tiềm ẩn nguy hiểm khó tránh?","Nghiện game có thể gây ra hậu quả đáng kể về sức khỏe, cuộc sống và tác động trực tiếp tới não bộ và sức khỏe tâm thần.",
,relax,"Các hoạt động giải trí tốt cho sức khỏe là gì?
Những bộ môn giải trí tốt cho sức khỏe là gì?
Hoạt động giải trí thế nào là lành mạnh?
Muốn giải trí lành mạnh có thể thử qua những hoạt động gì?","Đọc sách, nghe nhạc, dọn dẹp nhà cửa, xem phim.
",
,game benefit,"Chơi game có thể hỗ trợ những gì?
Tác động tích cực của việc chơi game có khoa học là gì?
Vì sao chơi game mang lại lợi ích?
Những điều tích cực từ việc chơi game là gì?
Chơi game giúp cho con người nâng cao khả năng gì?","Chơi game giúp tăng cường trí nhớ, mở rộng tư duy và tăng khả năng sáng tạo. Đồng thời hỗ trợ cải thiện khả năng phản xạ và tính kiên trì, tăng khả năng làm việc nhóm, cải thiện thị lực, tầm nhìn.",
,game pubg,"Năm ra mắt game PUBG là năm nào?
Game PUBG ra mắt vào năm mấy?
Game PUBG có phải ra mắt vào năm 2018 hay không?
Game PUBG ra mắt khi nào?
Năm nào game PUBG được ra mắt?
Ra mắt game PUBG năm bao nhiêu?",Game PUBG được ra mắt vào năm 2018.,
,platform pubg,"Điện thoại và máy tính chơi được PUBG không?
Máy tính và điện thoại chơi được PUBG không?
Game PUBG chơi được trên điện thoại không?
Game PUBG chơi được trên máy tính không?
Game PUBG chơi được trên cả máy tính và điện thoại không?",Theo Candy biết là được.,
,system pubg,"Nền tảng nào chơi được game PUBG?
Game PUBG chơi được trên nền tảng nào?
Nền tảng nào chơi được game PUBG?",Theo Candy biết Game PUBG chơi được trên 2 nền tảng là IOS và Android.,
,fun game,"Game PUBG chơi có vui không?
Chơi game PUBG vui không?
Chơi game PUBG có vui không?",Tất nhiên là vui rồi.,
Gia đình,parents,"Làm thế nào để lắng nghe nỗi lòng của cha mẹ?
Cách lắng nghe cha mẹ hiệu quả là gì?
Làm thế nào để có thể thấu hiểu cha mẹ?
Cách để cha mẹ và con cái thấu hiểu lẫn nhau là gì?
Con cái nên làm gì để thấu hiểu cha mẹ?","Lắng nghe, trao đổi với ba mẹ những điều mình đã làm và đang làm, dành ra khoảng thời gian cố định mỗi ngày cho gia đình.",
,family dinner,"Ăn tối cùng gia đình quan trọng ra sao?
Vì sao nên ăn tối cùng gia đình?
Có nên về nhà ăn tối cùng gia đình không?
Ngày nào cũng cùng gia đình ăn tối thì có nên không?
Niềm hạnh phúc khi cùng gia đình ăn tối là gì?","Bữa cơm gia đình cũng chính là chìa khóa của hạnh phúc, bữa cơm ấy sẽ gắn kết các thành viên trong gia đình để rồi mỗi người tự thấy mình được chở che, được quan tâm. Hãy ăn tối cùng gia đình mỗi ngày bạn nhé.",
,family time,"Tại sao phải dành thời gian cho gia đình của chính mình?
Lợi ích của việc dành thời gian cho gia đình?
Vì sao dành thời gian cho gia đình là điều cần ưu tiên?
Dành thời gian cho gia đình đem lại lợi ích tuyệt vời gì?
Vì sao khoa học chứng minh dành thời gian bên gia đình mình sẽ đem lại nhiều lợi ích khoa học vô cùng to lớn?","Tăng cường mối quan hệ, giảm căng thẳng, tạo nhiều khoảnh khắc đẹp giữa cha mẹ và con cái.
",
,family gift,"Món quà ý nghĩa tặng gia đình là gì?
Những món quà tặng cho gia đình đơn giản nhưng tràn ngập ý nghĩa là gì?
Những món quà sinh nhật tặng gia đình ý nghĩa mà thiết thực là gì?
Gợi ý món quà tặng gia đình ý nghĩa, làm họ vui lòng là gì?
Nên tặng quà gì cho gia đình thật ý nghĩa và thiết thực?","Tủ Lạnh, Máy Giặt, Máy Rửa Bát, Nồi Chiên Không Dầu
Máy Lọc Không Khí, Bộ Ấm Trà. Mẹ của bạn sẽ rất vui đấy.",
,family travel,"Những địa điểm du lịch hấp dẫn cùng gia đình là gì?
Du lịch gia đình nên đi đâu?
Đâu là địa điểm du lịch cho gia đình cùng nhau vui xuân?
Địa điểm du lịch nào nên đi cùng gia đình?
Gợi ý những địa điểm du lịch lý tưởng dành cho gia đình ở đâu?","Mùa hè ta đi du lịch biển nghỉ dưỡng ở Cô Tô, Phú Quốc.
Du lịch vùng cao khí hậu mát mẻ thì có Sapa, Đà Lạt, Buôn Ma Thuột.
Du lịch ngắm kiến trúc xưa cũ ở Cố Đô Huế và Dinh thự công tử Bạc Liêu.",
kiến thức,book,"Quyển sách nào được cho là hay nhất trên thế giới?
Sách hay nhất mọi thời đại tên là gì?
Quyển sách được đọc giả cho là hay nhất?
Tới thời điểm hiện tại, đâu là quyển sách hay nhất?
Sách hay nhất tên gì?
Sách hay nhất có tên là gì?
Theo các bình chọn thì đâu là quyển sách hay nhất?",Theo nhiều trang bình chọn thì Đắc Nhân Tâm - Dale Carnegie được cho là 1 trong top 10 quyển sách hay nhất mọi thời đại.,
,good book,"Những quyển sách hay để rèn luyện bản thân là gì?
Những quyển sách giúp khai mở trí óc là gì?
Những cuốn sách phát triển bản thân nên đọc một lần trong đời là gì?
Nên đọc những cuốn sách gì để rèn luyện và phát triển bản thân?
Những cuốn sách hay nên đọc về phát triển và rèn luyện bản thân là gì?","Hãy đọc Đắc Nhân Tâm, Khi hơi thở hóa thinh không, Dạy con làm giàu nhé, nó sẽ có ích cho bạn đấy.",
,reading habit,"Làm thế nào để duy trì thói quen đọc sách?
Cách gì giúp Nuôi Dưỡng Thói Quen Đọc Sách?
Cần làm gì để hình thành thói quen đọc sách hiệu quả?
Xây dựng thói quen đọc sách hiệu quả là gì?
Cách hình thành thói quen đọc sách là gì?","Luôn mang theo sách ở bên người, chọn sách phù hợp và đọc nhiều thể loại sách bạn nhé.",
,reading way,"Phương pháp đọc sách hiệu quả là gì?
Cách đọc sách hiệu quả là gì?
Làm thế nào để đọc sách cho hiệu quả?
Bí quyết để đọc sách hiệu quả là gì?
Cách đọc sách hiệu quả, nhớ lâu là gì?","Tránh đọc nhảy trở lại quá nhiều, hãy cố gắng hiểu ý nghĩa của cả đoạn văn, đừng để ý đến từng từ, từng câu.",
,rich habit,"Người giàu có những thói quen gì?
Người giàu sẽ làm gì để cuộc sống của họ tốt hơn mỗi ngày?
Những thói quen để trở nên giàu có là gì?
Những thói quen phổ biến của người giàu là gì?
Những việc nhỏ người giàu thường làm để ngày càng giàu lên là gì?","Người giàu luôn tìm đúng người, làm đúng việc, học tập và làm việc mỗi ngày.",
,poor habit,"Những thói quen người nghèo khó bỏ là gì?
Những thói quen của ""con nhà nghèo"" là gì?
Các thói quen khiến con người trở nên nghèo ngay cả khi có thu nhập khá là gì?
Những thói quen khiến con người mãi nghèo dù thu nhập khá là gì?
Những thói quen như thế nào khiến con người ""nghèo vẫn nghèo""?","Than thân trách phận, đo sự thành công bằng tiền bạc và thích so sánh mình với người khác.",
,zodiac,"Có tất cả bao nhiêu cung Hoàng đạo?
Tổng có bao nhiêu cung Hoàng đạo?
Số cung Hoàng đạo trên biểu đồ sao?
Có bao nhiêu cung Hoàng đạo trên biểu đồ sao?",Có tất cả 12 cung Hoàng Đạo,
,virgo,"Biểu tượng của cung Xử Nữ là gì?
Cung Xử Nữ có biểu tượng là gì?
Biểu tượng đại diện cho cung Xử Nữ?
Cung Xử Nữ được khắc họa hình ảnh như thế nào?",Cung Xử Nữ có biểu tượng là một người trinh nữ.,
,shoes,"Tôi nên mua giày ở hãng nào?
Hãng giày nào đẹp nhất?
Hãng giày nào bán chạy nhất?
Tôi nên chọn mua giày ở đâu?",Theo tôi là hãng Nike nhé.,
,building,"Toà nhà cao nhất thế giới ở đâu?
Đâu là toà nhà cao nhất thế giới?
Trên thế giới đâu là toà nhà cao nhất?
Toà nhà nào được mệnh danh là cao nhất trên thế giới?
Đâu là toà nhà được cho là cao nhất thế giới?","Đến thời điểm hiện tại, Burj Khalifa ở Dubai là tòa nhà cao nhất thế giới.",
,majors,"Những ngành học ra có nhiều tiền nhất là gì?
Ngành học có tương lai phát triển là gì?
Nên học ngành gì để có lương cao?",Nên học ngành Thương Mại Điện Tử để có lương cao.,
,cheap majors,"Ngành học học ít tốn kém nhất là gì?
Những ngành học ít tốn chi phí nhất là gì?
Nghèo nên học ngành gì để tiết kiệm?","Ngành Marketing – Ngành học kiếm nhiều tiền
Ngành Quản lý nhân sự – Ngành học thu nhập cao
Phi công – Nghề hái ra tiền",
,shortage resources,"Ngành học đang thiếu nhân lực là gì?
Những ngành học đang cần người làm nhất là gì?
Ngành học đang nổi nhưng thiếu nhân lực nhất là gì?
Học ngành gì mà các nhân lực đang cần người nhất?","Công nghệ thông tin, Thiết kế đồ họa, Marketing và Quan hệ công chúng.",
,online,"Những ngành học nào có thể làm online là gì?
Học ngành nào có thể làm việc tại nhà?","Học ngành Designer, Editor, Dịch thuật, Bán hàng online, Giáo viên dạy online có thể làm tại nhà.",
,river,"Sông rộng nhất thế giới ở đâu?
Đâu là sông rộng nhất thế giới?
Trên thế giới đâu là con sông rộng nhất?
Đâu là sông được cho là rộng nhất thế giới?",Đó là sông Amazon với diện tích khoảng 5.500.000 km²,
,lake,"Sông dài nhất thế giới ở đâu?
Đâu là sông dài nhất thế giới?
Trên thế giới đâu là sông dài nhất?
Sông nào được cho là dài nhất thế giới?",Sông Nile có độ dài 6.650 km là con sông dài nhất.,
Tình cảm,love yourself,"Yêu thương bản thân là gì?
Tự yêu bản thân là gì?
Làm cách nào yêu thương bản thân tốt hơn?
Những cách đơn giản giúp thêm yêu bản thân là gì?
Những cách để tự yêu bản thân là gì?","Yêu bản thân là luôn ưu tiên niềm vui và sự an yên từ trong nội tâm cho đến trân trọng cuộc sống bên ngoài của chính mình, hỗ trợ sự phát triển về thể chất, tâm lý và tinh thần của bản thân mỗi người.",
,dating,"Hẹn hò thì thì nên đi đâu chơi?
Hẹn hò thì nên đi những nơi nào?
Những nơi phù hợp để hẹn hò?
Những địa điểm các cặp hẹn hò nhất định phải tới?
Những nơi thú hút các cặp hẹn hò?","Hãy gặp nhau tại các quán cafe trong một buổi chiều nhẹ nhàng, thư thái hoặc chơi game giải tỏa stress, cùng đạp xe quanh nơi yên tĩnh, đi mua sắm cùng nhau.",
,overcome fear,"Làm thế nào để vượt qua sự sợ hãi và lo lắng?
Làm Thế Nào Để Vượt Qua Nỗi Sợ Của Chính Mình?
Làm Sao Để Vượt Qua Nỗi Sợ Hãi?
Những cách giúp vượt qua nỗi sợ hãi của bản thân là gì?
Những cách vượt qua nỗi sợ hữu hiệu nhất là gì?","Có lẽ bạn đang sợ hãi, không sao, hãy tiếp xúc với nỗi sợ hãi của bạn và đối mặt với nó, rồi bạn sẽ vượt qua. Tôi tin bạn.",
,find love,"Những lời khuyên giúp tìm thấy người yêu?
Đâu là cách để tìm ra người phù hợp với mình?
​Người độc thân làm thế nào để tìm được người phù hợp với mình?
Những điều quan trọng giúp tìm được người phù hợp với mình?
Cách tìm người yêu phù hợp là gì?",Hãy liệt kê ra những điểm bạn yêu cầu ở đối phương và hãy thử hẹn hò với một ai đó.,
,change,"Có nên thay đổi bản thân vì người mình yêu không?
Một người có nên thay đổi vì tình yêu không?
Có nên vì người mình yêu thương mà thay đổi?
Có nên thay đổi để hoàn thiện vì người mình yêu?
Liệu có nên thay đổi để phù hợp với người mình yêu thương?","Nên nhé, nếu điều đó giúp bạn phát triển và bạn cảm thấy hạnh phúc.",
Món Ăn,food,"Bạn muốn ăn món gì?
Bạn chọn món gì?
Bạn ăn gì?
Bạn thích ăn vị gì?
Vị món ăn bạn thích ăn nhất là gì?","Đừng trêu tôi chứ, tôi ăn thế nào được.",
,da lat food,"Ớt Đà Lạt còn có tên gọi là gì?
Thực phẩm chứa nhiều vitamin A là gì?
Loại ớt nào không cay?
Ớt không cay là ớt gì?","Bạn thử ớt chuông, nó không cay đâu.",
,protein food,"Loại thực phẩm nào chứa nhiều Protein nên ăn khi giảm cân?
Thịt nào giàu Protein nên ăn khi giảm cân?
Thực phẩm có thể ăn để giảm cân là gì?
Giảm cân nên ăn loại thịt nào?",Thịt gà nhé.,
,plants,"Thực vật nào tốt cho sức khỏe?
Nên tập cho em bé ăn loại rau nào? 
Loại thực vật nào chứa nhiều loại Vitamin?
Thực phẩm rau xanh chứa nhiều chất chống oxy hóa là gì?","Bông cải xanh chứa rất nhiều vitamin, tôi mong là bạn sẽ thích nó.",
,good food,"Loại thực phẩm giúp bổ máu?
Thiếu máu nên ăn loại thực phẩm nào?
Để bổ máu nên ăn loại thịt nào?
Loại thịt nào ăn giúp bổ máu?",Thịt bò nhé.,
,vietnam food,"Món gì ngon ở việt nam?
Món ngon ở việt nam?
Ở việt nam ăn món gì ngon?
Món ăn ngon ở việt nam có gì?
Việt nam có gì ăn ngon?","Việt Nam có rất nhiều món ngon, đặc biệt nhất là phở với bánh mì.",
,cake,"Ở Vũng tàu ăn bánh gì ngon?
Bánh gì ngon ở vũng tàu?
Ngoài biển vũng tàu ăn bánh gì ngon?
Vũng tàu ăn bánh gì ngon?
Ăn bánh gì ngon ở vùng tàu?
Bánh gì ngon ở vùng tàu?",Nếu bạn ở vùng tàu thì ăn bánh khọt là ngon nhất nhé.,
,noodle,"Bún gì nên thử ở Hà Nội?
Món bún gì nên ăn thử ở Hà Nội?
Ăn thử bún gì ở Hà Nội?
Loại bún gì nên thử ở Hà Nội?
Loại bún nên ăn thử ở Hà nội là gì?",Tôi nghĩ bạn nên ăn thử bún chả Hà Nội.,
,relax food,"Bị căng thẳng nên ăn gì?
Các món ăn giúp tinh thần thoải mái là gì?
Nên ăn gì để thư giãn tâm trí và giảm căng thẳng?
Các thực phẩm giúp giảm căng thẳng, mệt mỏi?
Ăn gì để thư giãn đầu óc khi căng thẳng mệt mỏi?","Nên ăn khoai lang, vì khoai lang là thực phẩm giúp cải thiện tâm trạng và giảm stress hiệu quả, và kết hợp với kim chi, trứng, rau chân vịt.",
Địa Lí,population,"Việt Nam hiện tại có dân số là bao nhiêu?
Dân số Việt Nam hiên tại là bao nhiêu?
Việt Nam hiện tại có dân số là bao nhiêu?
Hiện tại dân số Việt Nam là bao nhiêu?",Theo Candy biết dân số hiện tại của Việt Nam là: 99.176.137 người.,
,archipelago,"Trường Sa và Hoàng Sa của nước nào?
Nước nào sở hữu Hoàng Sa và Trường Sa?
Quần đảo Hoàng Sa và Trường Sa của nước nào?
Trường Sa và Hoàng Sa là của Việt Nam đúng không?",Quần đảo Hoàng Sa và Trường Sa là của Việt Nam.,
,longest coastline,"Đường bờ biển dài nhất nằm ở tỉnh nào?
Đường bờ biển dài nhất ở tỉnh nào?
Tỉnh có đường bờ biển dài nhất là tỉnh nào?
Tỉnh có đường bờ biển dài nhất?",Đường bờ biển dài nhất nằm ở tỉnh Khánh Hòa.,
,province,"Tỉnh nào có diện tích lớn nhất ở Việt Nam?
Tỉnh có diện tích lớn nhất?
Tỉnh có diện tích lớn nhất là tỉnh nào?
Khu vực có diện tích lớn nhất thuộc tỉnh nào?",Nghệ An là tỉnh có diện tích lớn nhất Việt Nam.,
,gdp,"Tỉnh có GDP đầu người cao nhất?
Tỉnh có GDP đầu người cao nhất thuộc tỉnh nào?
GDP đầu người cao nhất thuộc tỉnh nào?
GDP đầu người thuộc tỉnh nào là cao nhất?",Theo Candy biết là tỉnh Bình Dương.,
Phim Ảnh,video,"Video có lượt xem cao nhất tên gì?
Lượt xem video cao nhất là video gì?
Tên video có lượt xem cao nhất là gì?",Video có lượt xem cao nhất đến thời điểm hiện tại là Baby Shark Dance.,
,revenue movie,"Doanh thu của bộ phim cao nhất hiện nay tên gì?
Bộ phim có doanh thu cao nhất?
Bộ phim có doanh thu cao nhất hiện nay?
Bộ phim có doanh thu cao nhất hiện nay tên gì?
Phim có doanh thu cao nhất hiện nay?
Phim có doanh thu cao nhất hiện nay tên gì?",Theo Candy biết là “Avatar” 2019.,
,famous video,"Video có lượt thích cao nhất hiện nay tên gì?
Lượt thích cao nhất video hiện nay tên gì?
Hiện nay video có lượt thích cao nhất là video gì?
Video có lượt thích cao nhất tên gì?",Là MV Despacito.,
,pop start,"Ông hoàng nhạc pop là ai?
Ai là ông hoàng nhạc pop?
Người được mệnh danh là ông hoàng nhạc pop là ai?
Ai là người được mệnh danh là ông hoàng nhạc pop?",Michael Jackson,
,mona lisa,"Bức họa Mona Lisa là của ai?
Bức tranh nổi tiếng thế giới nàng Mona Lisa là của ai?
Bức họa Bữa ăn tối cuối cùng là của tác giả nào?
Ai đã vẽ ra bức tranh Bữa ăn tối cuối cùng?",Là họa sĩ nổi tiếng Leonardo di ser Piero da Vinci.,
